Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches,extra_0,MP,Starts,Min,Gls,Ast,G+A,G-PK,PK,PKatt,Gls,Ast,G+A,G-PK,G+A-PK,extra_1
54,Jaka Bijol,si SVN,DF,Leeds United,26,1999,21.0,0.19,0.00,0.00,0.90,0.48,0.00,0.05,1.05,0.62,,,0.00,Matches,,25,21,1,21.0,0.05,0.10,0.14,0.05,0.00,0.00,0.05,0.10,0.14,0.05,
55,Yves Bissouma,ml MLI,MF,Tottenham Hotspur,28,1996,6.7,0.60,0.00,0.00,1.19,0.90,0.00,0.15,1.19,1.64,,,0.00,Matches,,11,7,603,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
56,Marco Bizot,nl NED,GK,Aston Villa,34,1991,6.5,0.31,0.00,0.00,0.15,0.15,0.00,0.00,0.00,0.00,,,0.00,Matches,,7,6,585,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
57,Oscar Bobb,no NOR,MF,FW,Manchester City,22,2003,5.2,0.19,0.00,0.00,0.96,1.73,0.00,0.96,0.58,0.96,,,0.00,Matches,2003,9,5,5.2,0.00,0.19,0.19,0.00,0.00,0.00,0.00,0.19,0.19,0.00,
58,Oscar Bobb,no NOR,MF,Fulham,22,2003,6.3,0.00,0.00,0.00,0.63,1.27,0.00,1.43,0.95,1.11,,,0.00,Matches,,14,6,571,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
59,Lamare Bogarde,nl NED,MF,DF,Aston Villa,21,2004,11.7,0.43,0.00,0.00,1.45,1.71,0.00,0.17,0.34,1.62,,,0.00,Matches,2004,28,11,053,11.7,0.00,0.00,0.00,0.00,0.43,0.00,0.00,0.00,0.00,Matches
60,Jayden Bogle,eng ENG,MF,DF,Leeds United,25,2000,31.0,0.19,0.00,0.00,1.26,0.94,0.32,2.16,0.97,1.39,,,0.00,Matches,2000,34,32,793,31.0,0.03,0.06,0.10,0.03,0.19,0.00,0.03,0.06,0.10,Matches
61,Sebastiaan Bornauw,be BEL,DF,Leeds United,26,1999,4.8,0.21,0.00,0.00,1.46,0.00,0.21,0.21,1.46,0.83,,,0.00,Matches,,12,5,429,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
62,Olivier Boscagli,fr FRA,DF,Brighton,27,1997,8.9,0.22,0.00,0.00,0.79,1.12,0.00,1.69,1.80,1.24,,,0.00,Matches,,12,9,802,0.00,0.11,0.11,0.00,0.00,0.00,0.00,0.11,0.11,0.00,0.11,
63,Sven Botman,nl NED,DF,Newcastle United,25,2000,20.4,0.10,0.00,0.00,0.64,0.93,0.05,0.10,1.23,0.69,,,0.05,Matches,,25,21,1,20.4,0.05,0.05,0.10,0.05,0.00,0.00,0.05,0.05,0.10,0.05,
