player_name,Nation,Pos,Squad,Age,Born,Appearances,Starts,Min,90s,Goals,Assists,G+A,CrdY,CrdR,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,position
Antonee Robinson,us USA,DF,MF,Fulham,27,1997.0,22,17,1997,492.0,16.6,0.06,16.6,0.30,0.00,0.90,0.54,0.12,4.64,1.69,1.87,,,CB
Kaden Rodney,eng ENG,DF,MF,Crystal Palace,20,2004.0,1,0,2004,0.0,0.0,0,0.0,0,0,1,0,0,0.0,0.0,0,,,CM
Joe Rodon,wls WAL,DF,Leeds United,27,1997,35.0,33,2,32.8,32.8,0.06,0.00,0.09,0.00,0.52,0.58,0.03,0.18,0.91,0.58,,,0.00,CM
Rodri,es ESP,MF,Manchester City,29,1996,21.0,17,1,16.8,16.8,0.06,0.00,0.18,0.00,0.83,1.85,0.00,0.30,0.71,1.49,,,0.00,CM
Guido Rodríguez,ar ARG,MF,West Ham United,31,1994,6.0,2,180,2.0,0.0,0.0,0.00,0.50,0.00,1.00,2.00,0.00,1.00,1.0,0.0,,,0.00,CM
Robin Roefs,nl NED,GK,Sunderland,22,2003,35.0,35,3,35.0,35.0,0.0,0.00,0.11,0.00,0.00,0.40,0.00,0.00,0.0,0.0,,,0.00,GK
Morgan Rogers,eng ENG,MF,Aston Villa,23,2002,37.0,37,3,36.4,36.4,0.27,0.16,0.19,0.00,1.26,1.35,0.08,1.40,0.36,0.63,,,0.00,CM
Merlin Röhl,de GER,MF,Everton,23,2002,16.0,6,682,7.6,0.13,0.0,0.13,0.00,0.00,2.63,0.92,0.26,0.66,0.53,1.71,,,0.00,CM
Cristian Romero,ar ARG,DF,Tottenham Hotspur,27,1998,23.0,22,1,20.8,20.8,0.19,0.05,0.53,0.10,1.54,0.77,0.05,0.05,1.49,1.44,,,0.00,CB
James Rowswell,eng ENG,DF,Tottenham Hotspur,19,2006,1.0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,,,0,LB
Georginio Rutter,fr FRA,MF,FW,Brighton,23,2002.0,32,20,2002,786.0,19.8,0.15,19.8,0.10,0.00,1.52,1.72,0.56,1.01,0.56,0.96,,,CM
José Sá,pt POR,GK,Wolves,32,1993,23.0,23,2,23.0,23.0,0.0,0.00,0.09,0.00,0.00,0.26,0.00,0.00,0.0,0.0,,,0.00,GK
Noah Sadiki,cd COD,MF,Sunderland,20,2004,33.0,33,2,32.1,32.1,0.0,0.03,0.28,0.00,0.97,1.25,0.06,0.65,1.03,0.81,,,0.00,CM
Bukayo Saka,eng ENG,FW,MF,Arsenal,23,2001.0,31,25,2001,222.0,24.7,0.28,24.7,0.08,0.00,1.34,2.19,0.57,4.94,0.65,0.77,,,IF
Mohamed Salah,eg EGY,MF,Liverpool,33,1992,27.0,23,2,23.8,23.8,0.29,0.29,0.04,0.00,0.42,0.67,0.59,4.92,0.13,0.5,,,0.00,CM
William Saliba,fr FRA,DF,Arsenal,24,2001,31.0,30,2,29.0,29.0,0.03,0.00,0.07,0.00,0.76,0.55,0.03,0.31,0.52,0.79,,,0.00,LB
Robert Sánchez,es ESP,GK,Chelsea,27,1997,35.0,35,3,33.8,33.8,0.0,0.03,0.09,0.03,0.06,0.38,0.00,0.00,0.03,0.0,,,0.00,GK
Jadon Sancho,eng ENG,MF,Aston Villa,25,2000,23.0,9,876,9.7,0.0,0.21,0.21,0.00,0.00,0.31,0.21,0.31,2.37,0.21,0.21,,,0.00,CM
Ibrahim Sangaré,ci CIV,MF,Nottingham Forest,27,1997,28.0,25,2,23.1,23.1,0.09,0.09,0.22,0.00,1.82,0.78,0.00,0.35,0.95,1.39,,,0.00,CM
Andrey Santos,br BRA,MF,Chelsea,21,2004,27.0,13,1,14.0,14.0,0.07,0.00,0.29,0.00,0.93,1.57,0.07,0.14,1.29,1.5,,,0.00,CM
Ismaila Sarr,sn SEN,MF,Crystal Palace,27,1998,28.0,24,2,24.2,24.2,0.37,0.04,0.08,0.00,0.50,1.74,0.58,0.99,0.29,0.37,,,0.00,CM
Mamadou Sarr,sn SEN,DF,Chelsea,19,2005,3.0,1,102,1.1,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,0.0,,,0.00,LB
Sávio,br BRA,MF,Manchester City,21,2004,24.0,7,833,9.3,0.11,0.11,0.22,0.22,0.00,0.97,1.61,0.43,4.30,0.54,0.54,,,0.00,CM
Nicolò Savona,it ITA,DF,Nottingham Forest,22,2003,14.0,11,1,11.4,11.4,0.18,0.00,0.18,0.00,1.05,0.44,0.09,2.37,0.44,1.05,,,0.00,LB
Oliver Scarles,eng ENG,DF,MF,West Ham United,19,2005.0,13,9,2005,7.3,0.0,0.00,7.3,0.27,0.00,0.96,0.96,0.14,4.79,1.78,2.60,,,LB
Player,Nation,Pos,Squad,Age,Born,0.0,Starts,Min,90s,0.0,0.0,G+A,CrdY,CrdR,Fls,Fld,Off,Crs,0.0,0.0,PKwon,PKcon,OG,CM
Dane Scarlett,eng ENG,FW,Tottenham Hotspur,21,2004,2.0,0,9,0.1,0.0,0.0,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.0,0.0,,,0.00,IF
Kevin Schade,de GER,MF,FW,Brentford,23,2001.0,35,32,2001,745.0,30.5,0.26,30.5,0.20,0.00,1.64,1.41,0.33,0.75,0.62,0.89,,,CM
Fabian Schär,ch SUI,DF,Newcastle United,33,1991,16.0,11,1,12.1,12.1,0.0,0.00,0.08,0.00,1.24,0.58,0.08,0.33,1.32,0.74,,,0.00,LB
Alex Scott,eng ENG,MF,Bournemouth,21,2003,37.0,34,2,31.7,31.7,0.09,0.03,0.16,0.00,1.42,1.89,0.03,2.78,1.1,1.2,,,0.00,CM
Jenson Seelt,nl NED,DF,Sunderland,22,2003,2.0,1,134,1.5,0.0,0.0,0.00,0.00,0.00,0.67,0.67,0.00,0.67,0.0,0.0,,,0.00,LB
Matz Sels,be BEL,GK,Nottingham Forest,33,1992,31.0,30,2,29.6,29.6,0.0,0.00,0.07,0.00,0.00,0.14,0.00,0.00,0.0,0.03,,,0.00,GK
Antoine Semenyo,gh GHA,MF,FW,Manchester City,25,2000.0,17,17,2000,397.0,15.5,0.45,15.5,0.06,0.00,1.10,0.45,0.45,1.35,0.39,0.71,,,CM
Antoine Semenyo,gh GHA,MF,Bournemouth,25,2000,20.0,20,1,20.0,20.0,0.5,0.15,0.30,0.00,1.85,0.70,0.60,1.40,0.3,1.0,,,0.00,CM
Marcos Senesi,ar ARG,DF,Bournemouth,28,1997,37.0,37,3,36.5,36.5,0.0,0.14,0.22,0.00,0.96,1.01,0.03,0.77,1.37,0.93,,,0.00,CB
Benjamin Šeško,si SVN,FW,Manchester Utd,22,2003,30.0,17,1,18.3,18.3,0.6,0.05,0.11,0.00,0.93,0.33,0.38,0.11,0.16,0.16,,,0.00,ST
Ryan Sessegnon,eng ENG,DF,MF,Fulham,25,2000.0,27,20,2000,823.0,20.3,0.15,20.3,0.00,0.00,1.63,0.15,0.20,2.71,1.13,1.43,,,LB
Luke Shaw,eng ENG,DF,Manchester Utd,30,1995,38.0,38,3,35.8,35.8,0.03,0.03,0.25,0.00,1.34,0.56,0.00,1.51,1.2,1.26,,,0.00,LB
Bernardo Silva,pt POR,MF,Manchester City,30,1994,38.0,34,2,31.9,31.9,0.06,0.13,0.31,0.00,1.13,0.69,0.16,2.26,0.66,0.88,,,0.00,CM
Jota Silva,pt POR,FW,Nottingham Forest,25,1999,1.0,0,12,0.1,0.0,0.0,0.00,0.00,0.00,0.00,10.0,0.00,10.0,0.0,10.0,,,0.00,IF
Xavi Simons,nl NED,MF,FW,Tottenham Hotspur,22,2003.0,28,19,2003,755.0,19.5,0.10,19.5,0.26,0.00,1.08,2.26,0.00,2.62,0.77,1.03,,,CM
Adam Smith,eng ENG,DF,Bournemouth,34,1991,22.0,14,1,12.0,12.0,0.0,0.17,0.25,0.00,1.58,0.92,0.00,1.08,0.83,1.0,,,0.00,LB
Emile Smith Rowe,eng ENG,MF,Fulham,25,2000,37.0,22,1,21.4,21.4,0.14,0.00,0.05,0.00,0.47,0.79,0.14,0.61,1.03,1.03,,,0.00,CM
Dominic Solanke,eng ENG,FW,Tottenham Hotspur,27,1997,15.0,11,1,11.1,11.1,0.27,0.00,0.09,0.00,1.08,0.81,0.27,0.18,0.27,1.44,,,0.00,ST
Julio Soler,ar ARG,DF,Bournemouth,20,2005,3.0,0,35,0.4,0.0,0.0,0.00,0.00,0.00,5.00,5.00,0.00,5.00,0.0,0.0,,,0.00,LB
Oliver Sonne,pe PER,DF,Burnley,24,2000,7.0,1,169,1.9,0.53,0.0,0.53,0.00,0.00,2.11,0.00,0.00,2.63,0.53,0.53,,,0.00,LB
Borna Sosa,hr CRO,DF,MF,Crystal Palace,27,1998.0,7,0,1998,1.1,0.0,0.00,1.1,0.91,0.00,3.64,0.00,0.00,5.45,1.82,0.00,,,LB
Tomáš Souček,cz CZE,MF,West Ham United,30,1995,35.0,24,2,24.4,24.4,0.2,0.00,0.12,0.04,1.52,0.90,0.20,0.57,0.66,0.94,,,0.00,CM
Souza,br BRA,MF,Tottenham Hotspur,19,2006,4.0,2,144,1.6,0.0,0.0,0.00,0.63,0.00,1.88,1.25,0.00,1.88,1.25,0.0,,,0.00,CM
Djed Spence,eng ENG,DF,MF,Tottenham Hotspur,24,2000.0,30,23,2000,55.0,22.8,0.00,22.8,0.18,0.00,1.23,0.92,0.18,2.15,0.66,1.10,,,LB
Anton Stach,de GER,MF,Leeds United,26,1998,29.0,28,2,26.3,26.3,0.19,0.11,0.11,0.00,1.37,0.91,0.00,5.89,0.72,1.33,,,0.00,CM
Player,Nation,Pos,Squad,Age,Born,0.0,Starts,Min,90s,0.0,0.0,G+A,CrdY,CrdR,Fls,Fld,Off,Crs,0.0,0.0,PKwon,PKcon,OG,CM
John Stones,eng ENG,DF,Manchester City,31,1994,9.0,5,439,4.9,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.82,0.61,0.2,,,0.00,LB
Jørgen Strand Larsen,no NOR,FW,Wolves,25,2000,22.0,14,1,15.6,15.6,0.06,0.06,0.13,0.00,1.92,0.71,0.58,0.19,0.19,0.13,,,0.00,ST
Jørgen Strand Larsen,no NOR,FW,Crystal Palace,25,2000,14.0,12,903,10.0,0.3,0.0,0.30,0.20,0.00,2.10,1.00,0.10,0.00,0.1,0.0,,,0.00,IF
Pascal Struijk,nl NED,DF,Leeds United,25,1999,34.0,33,2,32.6,32.6,0.0,0.03,0.15,0.00,0.83,0.67,0.15,0.06,0.98,0.67,,,0.00,LB
Crysencio Summerville,nl NED,MF,FW,West Ham United,23,2001.0,31,29,2001,470.0,27.4,0.18,27.4,0.22,0.00,1.79,2.45,0.22,2.15,0.55,0.95,,,CM
Dominik Szoboszlai,hu HUN,MF,DF,Liverpool,24,2000.0,36,36,2000,231.0,35.9,0.17,35.9,0.22,0.00,1.17,0.84,0.06,5.74,0.81,0.89,,,CM
Jocelin Ta Bi,ci CIV,MF,Sunderland,20,2005,1.0,1,38,0.4,0.0,0.0,0.00,0.00,0.00,0.00,2.50,0.00,12.5,0.0,0.0,,,0.00,CM
Chemsdine Talbi,ma MAR,MF,FW,Sunderland,20,2005.0,28,16,2005,561.0,17.3,0.23,17.3,0.00,0.00,0.29,0.06,0.12,2.89,0.17,0.35,,,CM
Ao Tanaka,jp JPN,MF,Leeds United,26,1998,28.0,14,1,14.6,14.6,0.14,0.00,0.07,0.00,0.89,0.68,0.00,2.67,1.44,1.03,,,0.00,CM
James Tarkowski,eng ENG,DF,Everton,32,1992,37.0,37,3,37.0,37.0,0.05,0.08,0.22,0.00,0.86,0.95,0.05,0.19,0.78,0.81,,,0.00,CB
Marcus Tavernier,eng ENG,MF,Bournemouth,26,1999,34.0,31,2,30.4,30.4,0.23,0.13,0.20,0.00,1.02,1.15,0.13,3.75,0.53,0.69,,,0.00,CM
Loum Tchaouna,fr FRA,MF,FW,Burnley,21,2003.0,29,14,2003,272.0,14.1,0.14,14.1,0.14,0.00,0.85,1.13,0.07,2.41,0.14,0.64,,,CM
Jackson Tchatchoua,cm CMR,MF,DF,Wolves,23,2001.0,31,19,2001,845.0,20.5,0.00,20.5,0.15,0.00,0.39,0.44,0.10,4.39,0.68,0.73,,,CM
Mathys Tel,fr FRA,MF,FW,Tottenham Hotspur,20,2005.0,31,13,2005,349.0,15.0,0.27,15.0,0.07,0.00,1.27,1.53,0.20,6.13,0.33,0.80,,,CM
Kenny Tete,nl NED,DF,Fulham,29,1995,22.0,21,1,19.9,19.9,0.05,0.00,0.10,0.00,1.36,1.56,0.05,1.71,1.31,1.91,,,0.00,CB
Igor Thiago,br BRA,FW,Brentford,24,2001,38.0,37,3,36.5,36.5,0.6,0.03,0.19,0.00,2.03,0.71,0.66,0.52,0.33,0.58,,,0.00,ST
Malick Thiaw,de GER,DF,Newcastle United,23,2001,35.0,33,2,32.9,32.9,0.12,0.00,0.12,0.00,0.73,0.33,0.06,0.27,0.91,1.03,,,0.00,LB
Youri Tielemans,be BEL,MF,Aston Villa,28,1997,25.0,21,1,20.7,20.7,0.0,0.19,0.00,0.00,1.21,1.93,0.05,2.17,0.77,1.88,,,0.00,CM
Jurriën Timber,nl NED,DF,Arsenal,24,2001,30.0,28,2,27.3,27.3,0.11,0.18,0.18,0.00,1.39,1.06,0.00,1.68,0.88,1.28,,,0.00,LB
Jean-Clair Todibo,fr FRA,DF,West Ham United,25,1999,23.0,22,1,20.2,20.2,0.0,0.05,0.25,0.05,0.45,0.15,0.05,0.10,0.79,1.19,,,0.00,LB
Sandro Tonali,it ITA,MF,Newcastle United,25,2000,35.0,31,2,28.2,28.2,0.0,0.07,0.14,0.00,0.85,1.49,0.04,3.37,0.99,0.89,,,0.00,CM
Pau Torres,es ESP,DF,Aston Villa,28,1997,21.0,18,1,18.6,18.6,0.0,0.00,0.05,0.00,0.38,0.27,0.00,0.22,0.59,0.75,,,0.05,LB
Alex Tóth,hu HUN,MF,Bournemouth,19,2005,9.0,2,140,1.6,0.0,0.0,0.00,0.63,0.00,0.63,1.25,0.00,1.88,1.88,0.0,,,0.00,CM
James Trafford,eng ENG,GK,Manchester City,22,2002,4.0,4,360,4.0,0.0,0.0,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.0,0.25,,,0.00,GK
Adama Traoré,es ESP,MF,Fulham,29,1996,15.0,1,274,3.0,0.0,0.0,0.00,0.00,0.00,2.00,2.67,1.00,5.00,0.0,0.33,,,0.00,CM
Player,Nation,Pos,Squad,Age,Born,0.0,Starts,Min,90s,0.0,0.0,G+A,CrdY,CrdR,Fls,Fld,Off,Crs,0.0,0.0,PKwon,PKcon,OG,CM
Adama Traoré,es ESP,FW,MF,West Ham United,29,1996.0,9,0,1996,1.3,0.0,0.00,1.3,0.77,0.00,0.77,0.00,1.54,9.23,0.0,0.77,,,IF
Bertrand Traoré,bf BFA,MF,FW,Sunderland,29,1995.0,12,9,1995,7.0,0.14,0.00,7.0,0.14,0.00,1.57,1.71,0.14,1.86,0.29,0.57,,,CM
Mike Trésor,be BEL,FW,MF,Burnley,26,1999.0,6,0,1999,0.5,0.0,0.00,0.5,0.00,0.00,0.00,0.00,0.00,6.0,0.0,2.00,,,IF
Kieran Trippier,eng ENG,DF,Newcastle United,34,1990,21.0,18,1,17.6,17.6,0.0,0.06,0.17,0.00,1.25,1.08,0.06,5.45,0.4,0.74,,,0.00,LB
Leandro Trossard,be BEL,FW,MF,Arsenal,30,1994.0,31,21,1994,0.0,22.2,0.27,22.2,0.09,0.00,0.59,1.76,0.23,2.61,0.41,0.68,,,IF
Adrien Truffert,fr FRA,DF,Bournemouth,23,2001,38.0,38,3,37.5,37.5,0.03,0.13,0.13,0.00,1.04,0.85,0.00,3.79,1.15,1.36,,,0.00,LB
Axel Tuanzebe,cd COD,DF,Burnley,27,1997,14.0,14,1,13.3,13.3,0.08,0.00,0.08,0.00,0.98,0.15,0.08,0.08,0.9,0.6,,,0.08,LB
Stefanos Tzimas,gr GRE,FW,Brighton,19,2006,9.0,1,139,1.5,0.67,0.67,1.33,0.00,0.00,2.67,0.67,0.67,0.67,0.0,0.67,,,0.00,IF
Christantus Uche,ng NGA,FW,Crystal Palace,22,2003,14.0,0,173,1.9,0.0,0.0,0.00,0.00,0.00,2.11,3.68,1.58,3.16,0.0,0.53,,,0.00,IF
Destiny Udogie,it ITA,DF,MF,Tottenham Hotspur,22,2002.0,20,14,2002,339.0,14.9,0.00,14.9,0.27,0.00,1.14,1.48,0.20,1.81,0.47,1.34,,,CB
Manuel Ugarte,uy URU,MF,Manchester Utd,24,2001,22.0,8,887,9.9,0.0,0.0,0.00,0.10,0.00,2.42,1.52,0.00,0.10,2.02,3.03,,,0.00,CM
Lesley Ugochukwu,fr FRA,MF,Burnley,21,2004,35.0,27,2,26.0,26.0,0.12,0.04,0.12,0.04,1.08,1.15,0.04,0.27,0.65,1.0,,,0.00,CM
Enes Ünal,tr TUR,FW,Bournemouth,28,1997,23.0,0,232,2.6,0.38,0.0,0.38,0.38,0.00,2.31,3.85,1.15,0.77,0.0,0.38,,,0.00,IF
Hákon Valdimarsson,is ISL,GK,Brentford,23,2001,1.0,1,90,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,,,0.00,GK
Virgil van Dijk,nl NED,DF,Liverpool,34,1991,38.0,38,3,38.0,38.0,0.16,0.00,0.11,0.00,0.50,0.47,0.03,0.03,0.68,0.39,,,0.00,LB
Joël Veltman,nl NED,DF,Brighton,33,1992,24.0,9,1,11.7,11.7,0.09,0.00,0.43,0.00,0.85,1.88,0.17,1.54,1.62,1.45,,,0.00,CB
Micky van de Ven,nl NED,DF,Tottenham Hotspur,24,2001,35.0,35,3,33.8,33.8,0.12,0.03,0.27,0.03,0.83,0.65,0.06,0.09,0.62,0.59,,,0.00,CB
Bart Verbruggen,nl NED,GK,Brighton,22,2002,38.0,38,3,38.0,38.0,0.0,0.00,0.08,0.00,0.05,0.05,0.00,0.00,0.0,0.03,,,0.03,GK
Guglielmo Vicario,it ITA,GK,Tottenham Hotspur,28,1996,31.0,31,2,31.0,31.0,0.0,0.00,0.03,0.00,0.00,0.10,0.00,0.00,0.0,0.03,,,0.00,GK
Kyle Walker,eng ENG,DF,MF,Burnley,35,1990.0,36,35,1990,96.0,34.4,0.00,34.4,0.26,0.00,0.93,0.64,0.03,1.08,1.25,0.93,,,LB
Kyle Walker-Peters,eng ENG,DF,West Ham United,28,1997,23.0,15,1,15.4,15.4,0.06,0.00,0.13,0.00,0.78,1.62,0.06,1.30,0.58,1.95,,,0.00,LB
Aaron Wan-Bissaka,cd COD,DF,MF,West Ham United,27,1997.0,25,23,1997,81.0,23.1,0.00,23.1,0.17,0.00,1.00,0.52,0.04,1.86,1.77,1.04,,,CB
James Ward-Prowse,eng ENG,MF,West Ham United,30,1994,5.0,5,413,4.6,0.0,0.0,0.00,0.00,0.00,0.87,0.43,0.00,4.78,1.3,0.43,,,0.00,CM
James Ward-Prowse,eng ENG,MF,Burnley,30,1994,13.0,7,684,7.6,0.0,0.13,0.13,0.13,0.00,0.53,1.45,0.00,6.84,1.97,0.53,,,0.00,CM
Ollie Watkins,eng ENG,FW,Aston Villa,29,1995,37.0,33,2,31.5,31.5,0.51,0.10,0.13,0.00,1.11,1.02,0.79,0.22,0.16,0.44,,,0.00,ST
Player,Nation,Pos,Squad,Age,Born,0.0,Starts,Min,90s,0.0,0.0,G+A,CrdY,CrdR,Fls,Fld,Off,Crs,0.0,0.0,PKwon,PKcon,OG,CM
Tom Watson,eng ENG,MF,Brighton,19,2006,6.0,0,62,0.7,0.0,0.0,0.00,1.43,0.00,4.29,0.00,0.00,0.00,0.0,1.43,,,0.00,CM
Max Weiß,de GER,GK,Burnley,21,2004,3.0,3,270,3.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,,,0.00,GK
Danny Welbeck,eng ENG,FW,Brighton,34,1990,37.0,26,2,25.1,25.1,0.52,0.04,0.20,0.00,1.24,0.40,0.20,0.12,0.32,0.56,,,0.00,ST
Adam Wharton,eng ENG,MF,Crystal Palace,21,2004,34.0,29,2,28.4,28.4,0.04,0.18,0.21,0.04,1.23,1.09,0.00,3.03,0.95,1.27,,,0.00,CM
Ben White,eng ENG,DF,Arsenal,27,1997,12.0,9,702,7.8,0.0,0.13,0.13,0.00,0.00,0.64,0.77,0.38,2.05,1.15,1.15,,,0.00,CB
Mats Wieffer,nl NED,DF,Brighton,25,1999,26.0,23,1,21.1,21.1,0.09,0.14,0.38,0.00,1.42,1.04,0.09,0.81,1.14,2.04,,,0.00,LB
Neco Williams,wls WAL,DF,Nottingham Forest,24,2001,37.0,36,3,35.6,35.6,0.06,0.08,0.17,0.03,0.81,1.46,0.11,4.02,1.29,1.71,,,0.00,LB
Estêvão Willian,br BRA,MF,Chelsea,18,2007,22.0,12,848,9.4,0.21,0.21,0.43,0.43,0.00,1.28,0.96,0.64,1.70,0.43,0.64,,,0.00,CM
Joe Willock,eng ENG,MF,Newcastle United,25,1999,24.0,10,983,10.9,0.0,0.18,0.18,0.28,0.00,1.47,1.01,0.18,1.47,0.64,1.38,,,0.00,CM
Callum Wilson,eng ENG,FW,West Ham United,33,1992,32.0,11,1,13.9,13.9,0.5,0.07,0.07,0.00,0.86,1.01,0.65,0.36,0.22,0.14,,,0.00,ST
Harry Wilson,wls WAL,MF,Fulham,28,1997,36.0,32,2,29.7,29.7,0.34,0.24,0.24,0.00,0.44,1.25,0.44,3.87,0.54,0.64,,,0.00,CM
Ben Winterburn,eng ENG,MF,Bournemouth,20,2004,1.0,0,7,0.1,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,,,0.00,CM
Florian Wirtz,de GER,MF,Liverpool,22,2003,33.0,27,2,26.4,26.4,0.19,0.11,0.04,0.00,0.83,0.72,0.08,1.21,0.45,0.98,,,0.00,CM
Yoane Wissa,cd COD,FW,Newcastle United,28,1996,19.0,4,531,5.9,0.17,0.0,0.17,0.51,0.00,1.02,0.34,0.68,0.17,0.0,0.85,,,0.00,IF
Nick Woltemade,de GER,FW,MF,Newcastle United,23,2002.0,33,24,2002,902.0,21.1,0.38,21.1,0.00,0.00,0.95,0.95,0.38,0.14,0.24,0.62,,,ST
Chris Wood,nz NZL,FW,Nottingham Forest,33,1991,15.0,11,901,10.0,0.3,0.0,0.30,0.00,0.00,0.60,0.60,0.40,0.10,0.1,0.1,,,0.00,IF
Freddie Woodman,eng ENG,GK,Liverpool,28,1997,3.0,2,213,2.4,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,,,0.00,GK
Joe Worrall,eng ENG,DF,Burnley,28,1997,11.0,5,500,5.6,0.0,0.0,0.00,0.00,0.00,0.71,0.18,0.00,0.00,1.07,0.36,,,0.00,CM
Granit Xhaka,ch SUI,MF,Sunderland,32,1992,34.0,32,2,32.3,32.3,0.03,0.19,0.25,0.00,0.71,1.24,0.00,3.07,0.9,1.02,,,0.00,CM
Yehor Yarmoliuk,ua UKR,MF,Brentford,21,2004,37.0,30,2,29.5,29.5,0.03,0.07,0.24,0.00,1.25,0.41,0.03,1.02,0.95,1.56,,,0.00,CM
Ryan Yates,eng ENG,MF,Nottingham Forest,27,1997,22.0,2,617,6.9,0.0,0.29,0.29,0.43,0.00,1.88,1.88,0.00,0.72,1.3,1.45,,,0.00,CM
Leny Yoro,fr FRA,DF,Manchester Utd,19,2005,32.0,18,1,19.3,19.3,0.0,0.00,0.05,0.00,0.88,0.26,0.10,0.16,1.61,1.04,,,0.00,LB
Oleksandr Zinchenko,ua UKR,DF,Nottingham Forest,28,1996,5.0,4,353,3.9,0.0,0.0,0.00,0.00,0.00,0.26,0.51,0.26,4.62,0.51,1.54,,,0.00,CB
Joshua Zirkzee,nl NED,FW,MF,Manchester Utd,24,2001.0,24,5,2001,7.0,0.29,0.14,7.0,0.43,0.00,1.14,0.86,0.14,0.71,0.14,0.86,,,IF
Martín Zubimendi,es ESP,MF,Arsenal,26,1999,38.0,34,2,33.2,33.2,0.15,0.03,0.12,0.00,0.99,0.45,0.03,0.39,1.17,1.17,,,0.00,CM
Player,Nation,Pos,Squad,Age,Born,0.0,Starts,Min,90s,0.0,0.0,G+A,CrdY,CrdR,Fls,Fld,Off,Crs,0.0,0.0,PKwon,PKcon,OG,CM
Martin Ødegaard,no NOR,MF,Arsenal,26,1998,24.0,16,1,15.2,15.2,0.07,0.39,0.00,0.00,0.59,0.59,0.13,1.45,0.46,0.59,,,0.00,CM
