player_name,Nation,Pos,Squad,Age,Born,Appearances,Starts,Min,90s,Goals,Assists,G+A,CrdY,CrdR,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,position
Harvey Barnes,eng ENG,FW,MF,Newcastle United,27,1997.0,37,19,1997,966.0,21.8,0.32,21.8,0.05,0.00,0.78,1.06,0.14,3.39,0.14,0.23,,,ST
Thierno Barry,fr FRA,FW,Everton,22,2002,38.0,21,1,21.3,21.3,0.38,0.00,0.14,0.00,2.16,0.38,0.61,0.19,0.23,0.19,,,0.00,ST
Calvin Bassey,ng NGA,DF,Fulham,25,1999,30.0,28,2,28.2,28.2,0.04,0.00,0.18,0.00,0.99,1.42,0.04,0.50,0.78,1.13,,,0.00,CB
Altay Bayındır,tr TUR,GK,Manchester Utd,27,1998,6.0,6,540,6.0,0.0,0.0,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.0,0.0,,,0.00,GK
Jean-Ricner Bellegarde,ht HAI,MF,FW,Wolves,27,1998.0,26,15,1998,248.0,13.9,0.07,13.9,0.36,0.00,1.44,2.95,0.00,1.8,0.65,1.08,,,CM
Walter Benítez,ar ARG,GK,Crystal Palace,32,1993,1.0,1,90,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,,,0.00,GK
Rodrigo Bentancur,uy URU,MF,Tottenham Hotspur,28,1997,26.0,23,1,20.9,20.9,0.05,0.05,0.33,0.00,0.91,0.38,0.05,0.33,1.72,1.72,,,0.00,CM
Daniel Bentley,eng ENG,GK,Wolves,32,1993,3.0,3,270,3.0,0.0,0.0,0.00,0.00,0.00,0.00,0.67,0.00,0.00,0.0,0.0,,,0.00,GK
Player,Nation,Pos,Squad,Age,Born,0.0,Starts,Min,90s,0.0,0.0,G+A,CrdY,CrdR,Fls,Fld,Off,Crs,0.0,0.0,PKwon,PKcon,OG,CM
Sander Berge,no NOR,MF,Fulham,27,1998,35.0,34,2,32.3,32.3,0.0,0.03,0.15,0.00,1.08,0.43,0.03,0.40,0.8,1.27,,,0.03,CM
Lucas Bergvall,se SWE,MF,Tottenham Hotspur,19,2006,23.0,11,965,10.7,0.09,0.28,0.37,0.19,0.00,2.24,0.65,0.28,1.78,0.28,1.31,,,0.00,CM
Beto,gw GNB,FW,Everton,27,1998,37.0,17,1,17.4,17.4,0.52,0.06,0.17,0.00,1.84,0.69,0.52,0.11,0.06,0.29,,,0.00,ST
Jaka Bijol,si SVN,DF,Leeds United,26,1999,25.0,21,1,21.0,21.0,0.05,0.10,0.19,0.00,0.90,0.48,0.00,0.05,1.05,0.62,,,0.00,LB
Yves Bissouma,ml MLI,MF,Tottenham Hotspur,28,1996,11.0,7,603,6.7,0.0,0.0,0.00,0.60,0.00,1.19,0.90,0.00,0.15,1.19,1.64,,,0.00,CM
Marco Bizot,nl NED,GK,Aston Villa,34,1991,7.0,6,585,6.5,0.0,0.0,0.00,0.31,0.00,0.15,0.15,0.00,0.00,0.0,0.0,,,0.00,GK
Oscar Bobb,no NOR,MF,FW,Manchester City,22,2003.0,9,5,2003,5.2,0.0,0.19,5.2,0.19,0.00,0.96,1.73,0.00,0.96,0.58,0.96,,,CM
Oscar Bobb,no NOR,MF,Fulham,22,2003,14.0,6,571,6.3,0.0,0.0,0.00,0.00,0.00,0.63,1.27,0.00,1.43,0.95,1.11,,,0.00,CM
Lamare Bogarde,nl NED,MF,DF,Aston Villa,21,2004.0,28,11,2004,53.0,11.7,0.00,11.7,0.43,0.00,1.45,1.71,0.00,0.17,0.34,1.62,,,CM
Jayden Bogle,eng ENG,MF,DF,Leeds United,25,2000.0,34,32,2000,793.0,31.0,0.03,31.0,0.19,0.00,1.26,0.94,0.32,2.16,0.97,1.39,,,CM
Sebastiaan Bornauw,be BEL,DF,Leeds United,26,1999,12.0,5,429,4.8,0.0,0.0,0.00,0.21,0.00,1.46,0.00,0.21,0.21,1.46,0.83,,,0.00,LB
Olivier Boscagli,fr FRA,DF,Brighton,27,1997,12.0,9,802,8.9,0.0,0.11,0.11,0.22,0.00,0.79,1.12,0.00,1.69,1.8,1.24,,,0.00,LB
Sven Botman,nl NED,DF,Newcastle United,25,2000,25.0,21,1,20.4,20.4,0.05,0.05,0.10,0.00,0.64,0.93,0.05,0.10,1.23,0.69,,,0.05,LB
